time,location_id,temp_max,humidity,precipitation,location_wkt
2026-05-21 03:00:00+00:00,-32.1973_-61.7099,,,,POINT(-61.7099311 -32.1972868)
2026-05-22 03:00:00+00:00,-32.1973_-61.7099,,,,POINT(-61.7099311 -32.1972868)
2026-05-23 03:00:00+00:00,-32.1973_-61.7099,,,,POINT(-61.7099311 -32.1972868)
2026-05-21 03:00:00+00:00,-31.7727_-60.4978,,,,POINT(-60.49784 -31.772746)
2026-05-22 03:00:00+00:00,-31.7727_-60.4978,,,,POINT(-60.49784 -31.772746)
2026-05-23 03:00:00+00:00,-31.7727_-60.4978,,,,POINT(-60.49784 -31.772746)
2026-05-21 03:00:00+00:00,-31.3854_-62.8281,,,,POINT(-62.828133 -31.3854384)
2026-05-22 03:00:00+00:00,-31.3854_-62.8281,,,,POINT(-62.828133 -31.3854384)
2026-05-23 03:00:00+00:00,-31.3854_-62.8281,,,,POINT(-62.828133 -31.3854384)
2026-05-21 03:00:00+00:00,-27.3167_-61.2833,,,,POINT(-61.2833 -27.3167)
2026-05-22 03:00:00+00:00,-27.3167_-61.2833,,,,POINT(-61.2833 -27.3167)
2026-05-23 03:00:00+00:00,-27.3167_-61.2833,,,,POINT(-61.2833 -27.3167)
2026-05-21 03:00:00+00:00,-32.0001_-60.9255,,,,POINT(-60.9254825 -32.0001305)
2026-05-22 03:00:00+00:00,-32.0001_-60.9255,,,,POINT(-60.9254825 -32.0001305)
2026-05-23 03:00:00+00:00,-32.0001_-60.9255,,,,POINT(-60.9254825 -32.0001305)
2026-05-21 03:00:00+00:00,-31.1903_-61.8326,,,,POINT(-61.8325798 -31.1903062)
2026-05-22 03:00:00+00:00,-31.1903_-61.8326,,,,POINT(-61.8325798 -31.1903062)
2026-05-23 03:00:00+00:00,-31.1903_-61.8326,,,,POINT(-61.8325798 -31.1903062)
2026-05-21 03:00:00+00:00,-30.9764_-64.0957,,,,POINT(-64.0957082 -30.9764132)
2026-05-22 03:00:00+00:00,-30.9764_-64.0957,,,,POINT(-64.0957082 -30.9764132)
2026-05-23 03:00:00+00:00,-30.9764_-64.0957,,,,POINT(-64.0957082 -30.9764132)
2026-05-21 03:00:00+00:00,-32.8410_-62.8659,,,,POINT(-62.8659311 -32.8410457)
2026-05-22 03:00:00+00:00,-32.8410_-62.8659,,,,POINT(-62.8659311 -32.8410457)
2026-05-23 03:00:00+00:00,-32.8410_-62.8659,,,,POINT(-62.8659311 -32.8410457)
2026-05-21 03:00:00+00:00,-31.8716_-63.1157,,,,POINT(-63.1157318 -31.8715895)
2026-05-22 03:00:00+00:00,-31.8716_-63.1157,,,,POINT(-63.1157318 -31.8715895)
2026-05-23 03:00:00+00:00,-31.8716_-63.1157,,,,POINT(-63.1157318 -31.8715895)
2026-05-21 03:00:00+00:00,-25.2539_-64.3952,,,,POINT(-64.395205 -25.253895)
2026-05-22 03:00:00+00:00,-25.2539_-64.3952,,,,POINT(-64.395205 -25.253895)
