id,occurrence_date,pest_type,severity_level,institution,province,locality,adults_count,infection_percent,geom_wkt
4168,2026-02-05 03:00:00+00:00,Dalbulus maidis,Low,AAPPCE,Santa Fe,Máximo Paz,2.0,,POINT(-60.9561804 -33.4831667)
4169,2026-02-05 03:00:00+00:00,Dalbulus maidis,Medium,AAPPCE,Santa Fe,San Jerónimo Sur,5.0,,POINT(-61.0347379 -32.8758681)
4170,2026-02-05 03:00:00+00:00,Dalbulus maidis,Zero,AAPPCE,Santa Fe,Teodelina,0.0,,POINT(-61.5265613 -34.1895388)
4171,2026-02-05 03:00:00+00:00,Dalbulus maidis,Zero,AAPPCE,Santa Fe,Timbúes,0.0,,POINT(-60.7957434 -32.6674546)
4172,2026-02-05 03:00:00+00:00,Dalbulus maidis,Zero,AAPPCE,Santa Fe,Venado tuerto,0.0,,POINT(-61.9686068 -33.7455871)
4173,2026-02-05 03:00:00+00:00,Dalbulus maidis,Zero,AAPPCE,Santa Fe,Villa Mugueta,0.0,,POINT(-61.0563641 -33.3119003)
4174,2026-02-05 03:00:00+00:00,Dalbulus maidis,Zero,AAPPCE,Santa Fe,Villada,0.0,,POINT(-61.4466868 -33.3487788)
4175,2026-02-05 03:00:00+00:00,Dalbulus maidis,Low,AAPPCE,Santa Fe,Wheelright,1.0,,POINT(-61.0480619 -33.7129778)
4176,2026-02-05 03:00:00+00:00,Dalbulus maidis,Zero,AAPPCE,Santa Fe,J. B. Molina,0.0,,POINT(-60.5108701 -33.4938205)
4177,2026-02-05 03:00:00+00:00,Dalbulus maidis,Medium,AAPPCE,Santa Fe,Armstrong,12.0,,POINT(-61.6035897 -32.7862754)
4178,2026-02-05 03:00:00+00:00,Dalbulus maidis,Zero,AAPRESID,Santa Fe,Chañar Ladeado,0.0,,POINT(-62.0352689 -33.3261137)
4179,2026-02-05 03:00:00+00:00,Dalbulus maidis,Unknown,AAPRESID,Santa Fe,Monte de Oca,,,POINT(-55.1388513 -27.4783954)
4180,2026-02-05 03:00:00+00:00,Dalbulus maidis,Medium,AAPRESID,Santa Fe,Zavalla,14.0,,POINT(-60.8788584 -33.0185383)
4181,2026-02-05 03:00:00+00:00,Dalbulus maidis,Zero,AAPRESID,Santa Fe,Pueblo Uranga,0.0,,POINT(-60.7059966 -33.2637886)
4182,2026-02-05 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Santa Fe,Clucellas,0.0,,POINT(-61.706928 -31.4526309)
4183,2026-02-05 03:00:00+00:00,Dalbulus maidis,Zero,INTA,Santa Fe,Pujato,0.0,,POINT(-61.0430978 -33.0176021)
4184,2026-02-05 03:00:00+00:00,Dalbulus maidis,Low,INTA,Santa Fe,Cañada de Gómez,4.0,,POINT(-61.3905125 -32.8234448)
4185,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Jujuy,EL Carmen,0.0,,POINT(-65.25 -24.3833)
4186,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Jujuy,Fraile Pintado,0.0,,POINT(-64.8023369 -23.9425671)
4187,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Jujuy,Santa Clara,0.0,,POINT(-64.6619555 -24.3100735)
4188,2026-01-21 03:00:00+00:00,Dalbulus maidis,High,INTA,Jujuy,El Bananal,69.0,,POINT(-65.2230287 -24.2780584)
4189,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,AAPPCE,Salta,Agua Sucia,6.0,,POINT(-63.897824 -24.4245161)
4190,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,AAPPCE,Salta,Rio Piedras,,,POINT(-64.9103052 -25.3142011)
4191,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,AAPRESID,Salta,Rivadavia,6.0,,POINT(-62.8101767 -23.6194992)
4192,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,AAPRESID,Salta,Piquete Cabado 1,2.0,,POINT(-64.1779238 -24.8199213)
4193,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Salta,Antilla,1.0,,POINT(-64.5934507 -26.119575)
4194,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Salta,Ballivián,,,POINT(-63.8598092 -22.9343587)
4195,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Salta,Ceibalito,0.0,,POINT(-64.2752752 -25.1101879)
4196,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Salta,Copo Quiles,7.0,,POINT(-65.4 -24.7)
4197,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Salta,El Bordo,2.0,,POINT(-65.1055563 -24.6606733)
4198,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Salta,El Galpón,0.0,,POINT(-64.6515946 -25.3806631)
4199,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Salta,El Tunal,3.0,,POINT(-64.395205 -25.253895)
4200,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Salta,Embarcación,,,POINT(-64.0973737 -23.2101359)
